name,style,abv,ibu,color
Founders Brewing Co. - Dirty Bastard Clone,Strong Scotch Ale,8.56,49.96,24.85
Traditional Dunkelweizen,Dunkelweizen,5.59,12.13,15.39
Green Flash West Coast IPA Clone,American IPA,7.27,92.4,9.3
Chocolate Mint Stout,American Stout,8.08,43.24,31.77
Kona Big Wave Clone,American Pale Ale,5.54,40.55,7.07
Old Speckled Hen (clone),Extra Special/Strong Bitter (ESB),5.33,34.5,10.11
Rodenbach Grand Cru Clone,Flanders Red Ale,7.22,15.99,15.25
Backwoods Bastard Clone,Strong Scotch Ale,10.94,50.84,31
Sleeman Cream Ale Clone,Cream Ale,5.22,19.73,4.74
Shiner Bock,Dark American Lager,4.14,12.88,17.67
Brooklyn Lager Clone,Vienna Lager,5.65,34.79,11.92
German Kolsch,Kölsch,5,30.83,3
Bitburger Clone,German Pilsner (Pils),5.45,37.53,3.35
SMASH Citra IPA,American IPA,6.28,63.46,6.74
Todd The Axe Man (Surly),American IPA,7.34,52.81,6.21
Aecht Schlenkerla Rauchbier Clone,Märzen,5.73,22.94,23.03
Lagunitas Brewing Co.- Lagunitas IPA Clone,American IPA,5.82,54,7.22
Saison Dupont Clone,Saison,6.69,25.71,5.25
Dogfish Head Brewery - Dogfish Head 60 Minute IPA Clone,American IPA,6.03,60,9.01
Smithwick's Irish Ale,Irish Red Ale,4.5,25.27,16.76
Mac & Jacks African Amber Clone,American Amber Ale,5.41,31.25,13.33
Tripel Karmeliet Clone,Belgian Golden Strong Ale,9.06,25.16,5.12
Pale Ale - Bee's Knees Haus Pale - 10 Gal,American Pale Ale,5.06,33.39,8.76
NEIPA,Specialty IPA: New England IPA,6.33,54.88,5.64
Bell's Hopslam Clone,Double IPA,9.78,141.73,6.68
Traditional Berliner Weisse,Berliner Weisse,3.87,6.69,2.89
Cascadian Dark Ale (Black IPA),American IPA,6.64,94.45,31.85
Bakke Brygg Tysk Pilsner 25 L,German Pils,4.8,30.99,3.32
Imperial Gingerbread Stout,Foreign Extra Stout,10.17,65.45,40
Smithwicks Clone,Irish Red Ale,5.8,27.49,17.43
Indian Summer Pale Ale,American Pale Ale,5.69,12.96,9.27
Westvleteren 12 Clone,Clone Beer,10,35.35,26.41
Oatmeal IPA,American IPA,6.92,77.73,10.53
White House Honey Ale (Official Recipe),American Amber Ale,5.63,19.5,8.87
Sweet Baby Jesus Clone,Robust Porter,7.77,30.03,47.34
White Stout,Sweet Stout,4.59,26.61,10.56
Yuengling Clone,American Lager,4.62,16.77,6.1
Brut IPA,American IPA,7.03,34.19,3.17
Caribou Slobber,American Brown Ale,4.8,18.1,25.1
Heavenweizen,Weizen/Weissbier,6.3,13.92,5.9
Stella Artois Clone,Bohemian Pilsener,5.5,23.49,3.73
Hefe Graf (Apple Wheat),Fruit Beer,9.08,31.36,10.43
Bell's Oberon Clone,American Wheat Beer,5.18,17.45,5.1
Erdinger Clone,Weizen/Weissbier,4.14,14.74,3.66
Citra Pale Ale Recipe,American Pale Ale,5.64,36.05,6.85
Wake N Bake - Double Espresso Imperial Oatmeal Stout,American Stout,7.61,67.28,39.37
Yorkshire Bitter,Special/Best/Premium Bitter,4.25,34.98,13.33
Hoppy Pale Ale,American Pale Ale,6.42,63.57,7.92
Flowers & Wood - Farmhouse Saison,Saison,6.76,30.29,9.83
Strawberry Vanilla Milkshake IPA,American IPA,6.13,99.32,7.2
Basic Amber,American Amber Ale,4.97,35.4,11.11
Nelson Sauvin SMaSH,American Pale Ale,5.03,48.24,3.59
Sip Of Sunshine Clone,American IPA,8.46,96.32,8.26
Founder's Brewing's Breakfast Stout Clone,Oatmeal Stout,8.11,28.38,40
Cali' Creamin' Clone,Cream Ale,5.38,25.46,6.1
Hazy IPA_ Hazy Little Thing,Specialty IPA: White IPA,6.99,64.51,5.94
Hard Cider,Common Cider,5.08,0,8.67
Oaked Acerglyn (Maple Mead),Dry Mead,15.38,0,16.08
Jason's Tropical IPA -  All-Grain,American IPA,7.57,85.99,5.57
Cinnamon Apple Brown Ale,Fruit Beer,4.89,26.24,18.01
NEIPA Juice Bomb,American IPA,8.06,30.55,5.18
Bavarian Hefeweizen,Weizen/Weissbier,4.26,17.68,3.02
Golden Monkey Clone,Belgian Tripel,9.51,29.19,7.48
Rebel IPA,American IPA,6.58,51.23,9.38
BC Irish Red,Irish Red Ale,5.03,14.92,20.24
Citradelic IPA Clone (New Belgium),American IPA,6.49,88.17,9.49
Chocolate Cherry Porter,Robust Porter,7.12,44.19,39.03
Alaskan Amber Clone,American Amber Ale,5.69,35.3,10.59
Sloop Juice Bomb Clone,American IPA,5.72,76.19,4.15
Watermelon Wheat,Witbier,5.33,8.74,3.9
Classic German Pilsner,German Pilsner (Pils),4.81,31.94,3.08
Blackberry Sour Ale,Fruit Beer,6.7,30.66,4.39
Bakke Brygg American IPA 50 L,American IPA,6.85,71.88,6.89
Pauwel Kwak Clone,Belgian Golden Strong Ale,9.65,22.92,9.04
Imperial Stout,Imperial Stout,9.96,64.6,50
Imperial Chocolate Milk Stout (50L),Imperial Stout,9.16,35.75,38.79
Imperial Chocolate Milk Stout (50L),Imperial Stout,9.16,35.75,38.79
Fresh Squeezed Clone,American IPA,6.24,58.86,11.58
Blonde Stout,Experimental Beer,7.86,36.39,6.53
Cold Smoke Clone,Strong Scotch Ale,6.18,11.48,19.42
Pineapple Hefeweizen,Weizen/Weissbier,5.28,15.37,6.68
Shiner Bock Clone,American Lager,5.12,13.37,18.2
American Nut Brown Ale,American Brown Ale,4.52,19.97,17.6
Dragon's Milk Clone,Old Ale,9.67,35.2,37.34
American Red Ale,American Amber Ale,6.63,64.58,17.09
Boulevard Pale Ale Clone,American Pale Ale,5.05,30.84,9.47
Pineapple Pale,Fruit Beer,6.54,60.07,11
Maple Bourbon Porter,Robust Porter,6.5,35.82,27.53
Dark Lord Clone,Russian Imperial Stout,13.69,55.93,50
Bakke Brygg Pale Ale 5 L,American Pale Ale,5.55,37.88,6.16
Brut IPA,American IPA,6.74,44.78,6.21
Guinness Extra Stout Clone,Dry Stout,4.3,40.21,40
Cream Of Three Crops,Cream Ale,4.15,13.37,2.56
Smithwick's Irish Red Ale Clone,Irish Red Ale,4.62,20.51,16.14
Bakke Brygg Ginger Ale 25 L,"Spice, Herb, or Vegetable Beer",4.41,10.82,2.95
Franziskaner Hefe-weisse Clone 4g,Weizen/Weissbier,5.07,22.37,4.72
Bell's Two Hearted Ale Clone,American IPA,7,51.8,5.6
New Belgium Fat Tire Clone Recipe,American Amber Ale,5.71,19.33,10.44
Bell's Two Hearted Ale Clone,American IPA,6.99,68.13,6.96
Pineapple IPA,American IPA,5.88,65.77,7.04
American Pale Ale,American Pale Ale,5.18,37.79,7.91
TH Haze Clone,Imperial IPA,8.25,84.16,7
Sleeper Street | Trillium Brewing  (approximation) Braumeister 20L,American IPA,6.83,41.72,4.39
Dogfish Head 90 Minute Clone,American IPA,7.98,0,7.34
Irish Sunset,Irish Red Ale,5.27,30.16,13.96
Punk IPA Clone - Braumeister 20l,American IPA,6.08,54.52,6.5
ESB (Single Hop: EKG),Extra Special/Strong Bitter (ESB),5.75,34.85,9.74
Mosaic SMASH Pale Ale,American Pale Ale,6.46,37.64,6.02
Amazing Haze 7%,American IPA,5.87,67.12,4.55
Newcastle Brown Ale Clone,Northern English Brown,5.08,27.79,15.04
Chocolate Coconut Stout,Sweet Stout,7.84,37.56,50
Juicy Plum Porter,English Porter,5.26,35.6,24.55
Oktoberfest,Oktoberfest/Märzen,6.06,42.99,9.25
Deschutes Mirror Pond Pale Ale Clone,American Pale Ale,5.08,57.71,6.58
Augustiner Helles Clone V1.2,Munich Helles,5.03,17.74,4.69
Ginger Whirlwind - Golden Ginger Ale,American Pale Ale,5.75,35.38,4.98
Session IPA,American IPA,4.48,53.4,8.31
Raging Bitch Clone,Imperial IPA,8.53,80.6,12.22
BIAB IPA,American IPA,5.84,67.53,6.41
Any Colour You Like,American Pale Ale,5.77,36.64,5.65
Mexican Cerveza,Light American Lager,4.96,28.95,2.97
Bakke Brygg Pale Ale 25 L,American Pale Ale,5.55,37.36,6.16
Bells Brewery - Oberon Clone,American Wheat or Rye Beer,5.64,24,6.38
Farmhouse Saison Pepper/Lemon,Saison,5.27,28.86,3.37
Mango IPA,American IPA,7.61,59.05,8.02
Talus A Trippel Like... BIPA,Belgian Golden Strong Ale,8.59,65.83,6.78
Bakke Brygg JuleAle 2016 20 L,American Brown Ale,6.54,42.81,21.63
Erdinger Hefeweize Clone,Weissbier,4.93,11.34,6.93
Old Rasputin Clone,Russian Imperial Stout,8.99,72.81,32.93
Mosaic IPA,American IPA,6.26,63.67,6.18
Bavarian Hefeweizen,Weizen/Weissbier,4.76,11.24,3.17
Westmalle Tripel Clone,Belgian Tripel,9.23,36.92,5.53
Goose Island 312,American Wheat or Rye Beer,4.21,25.4,3.73
Accumulation IPA Clone,Specialty IPA: White IPA,6.41,56.13,4.22
Grapefruit Honey Ale,American IPA,5.38,43.4,7.1
Pineapple SAgePA,American IPA,5.95,0.54,6.08
NEIPA #03: Pina ColaDIPA,Double IPA,7.53,53.62,5.81
Chocolate Hazelnut Porter,Brown Porter,6.77,36.2,40
Treehouse Julius,American IPA,6.7,80.21,7.32
Belgian Trippel,Belgian Tripel,8.69,36.77,5.38
Highlander Chocolate Coffee Porter,Robust Porter,5.41,19.33,39
Rochefort 10 Clone,Belgian Dark Strong Ale,10.72,41.9,40
New England IPA,American IPA,6.17,110.97,5.31
Hunahpu (clone),Russian Imperial Stout,12.35,80.38,40
Bonnie And Clyde Mango Milkshake NEIPA. We Used To Be Good But Then We Got Bored,Specialty IPA: New England IPA,4.81,83.47,4.17
Alpine Nelson Clone BIAB,American IPA,7.13,99.3,5.24
Gumball Head Clone,American Wheat or Rye Beer,5.1,19.57,5
Tropical Thunder (NEIPA),American IPA,6.41,58.54,5.52
Elysian Space Dust Variant,American IPA,8.21,73.43,9.33
Hopped And Loaded 16 BBL,American IPA,7.27,81.43,6.84
Timothy Taylor Landlord Clone,Standard/Ordinary Bitter,4.74,44.3,7.02
Fuller's London Porter Clone BYO,Brown Porter,5.01,30.94,33.18
The Quiet Man - Citra Lager,American Lager,4.93,16.35,2.58
Fuller's London Pride,Special/Best/Premium Bitter,4.39,36.59,12.56
Kristallweizen,Weizen/Weissbier,5.6,20.73,4.22
Blood Orange Wheat (Wedding),Fruit Beer,5.33,30.18,3.72
S'mores Stout,Sweet Stout,6.45,29.95,38.42
Julius Clone BYO,American IPA,7.11,43.91,5.04
Summer Citra Kölsch Partial Mash,Kölsch,4.76,22.58,3.75
Irish Red Ale-BIAB,Irish Red Ale,5.48,25.52,22.28
Heavy Hard Cherry Apple Cider,English Cider,8.11,0,7.17
La Trappe Quadrupel Clone,Belgian Dark Strong Ale,10.11,23.4,22.03
Bakke Brygg American Red Ale 25 L,American Amber Ale,6.61,65.32,16.19
Mint Chocolate Stout,American Stout,10.26,55.69,40
Dreaded  Southern Brown Ale - Maris Otter,Southern English Brown,5.42,13.1,20.14
Sumpin' Like Little Sumpin' Sumpin' Wheat IPA,Imperial IPA,7.47,61.78,4.58
Nothing Fancy Milk Chocolate Stout,Sweet Stout,4.99,20.14,39.5
British Golden Ale,British Golden Ale,4.98,21.65,4.28
Malty Pils,German Pilsner (Pils),4.64,25.82,3.53
Diamond Chocolate Coffee Porter,Robust Porter,7.43,80.54,36.04
St. Bernardus Abt. 12 Clone,Belgian Dark Strong Ale,10.21,20.61,40
Peach Wheat,Fruit Beer,5.25,30.24,6.32
Bakke Brygg JuleAle 2015 20 L,Old Ale,7.35,47.84,26.39
Kilkenny Clone 5 GAL,Irish Red Ale,5.13,27.81,12.01
Jacobsen Golden Naked Christmas Ale - 23L,Belgian Blond Ale,7.34,23.25,8.79
HORNET 23L,American IPA,6.32,42.8,6.41
Christmas Spiced Mead,Metheglin,15.68,0,15.05
Coopers Sparkling Ale Clone,Australian Sparkling Ale,5.29,32.92,5.73
Firestone Walker Union Jack IPA Clone,American IPA,7.87,81.05,8.14
Electric IPA,American IPA,6.55,59.25,6.73
Tap Room American Brown,American Brown Ale,7.07,32.35,22.88
Juana Peña - Columbus - Mosaic IPA,American IPA,6.42,49.76,3.69
Ayinger Brau-Weisse Clone Small Batch,Weizen/Weissbier,5.13,13,4.01
Coffee Porter,Robust Porter,6.24,92.77,50
#106 Cold Taxi Inspo,American Pale Ale,5.3,36.81,3.32
La Fin Du Monde Clone,Belgian Tripel,8.91,13.42,5.22
Hoppy Pils,German Pilsner (Pils),4.92,50.55,4.24
Imperial Biscotti Break Clone,Russian Imperial Stout,11.14,63.32,50
Blonde Stout,Sweet Stout,8.01,31.1,7.24
Russian Imperial Stout Blend,Russian Imperial Stout,10.52,93.43,40
Brooklyn Lager Clone (Brooklyn Brewery),Vienna Lager,5.27,34.54,9.1
IPA 2 Gallon Batch,Double IPA,9.19,60.42,12.61
She Devil Tripel,Belgian Tripel,9.62,34.96,7.87
Traditional German Gose,Gueuze,5.11,10.23,4.47
Belgian Quad,Belgian Dark Strong Ale,10.2,24.55,33.99
Butterbeer,Specialty Beer,6.85,18.36,16.65
Amarillo Pale Ale,American Pale Ale,5.42,68.05,10.41
Apple Ale,Fruit Beer,6.64,11.74,7.97
Belgian Tripel,Belgian Tripel,9.6,34.77,7.28
Salted Caramel Chocolate Stout,Sweet Stout,5.76,28.62,37.9
Wheat,American Wheat Beer,4.57,21.02,5.55
Stout - Young Clone,Oatmeal Stout,5.29,30.42,30.87
American Wheat IPA,American IPA,7.36,96.78,4.94
Bruxelles Blonde Clone (?),Belgian Pale Ale,5.63,20.63,4.77
Vanilla Coffee Stout,American Stout,4.85,17.28,32.15
Honey Blonde Ale,Blonde Ale,5.35,17.22,7.14
Chocolate Peanut Butter Porter,American Porter,6.94,9.49,35.98
Toombstone - Banana Wheat,Weissbier,5.49,11.84,3.51
120 Minute IPA Clone,Imperial IPA,19.85,75.55,6.79
Mango Milkshake IPA,American IPA,6.14,65.66,5.75
Raspberry Sour,Wild Specialty Beer,6.09,12.13,4.36
Citrus Blonde,Blonde Ale,5.29,23.02,4.56
Golden Session,British Golden Ale,3.82,28.75,3.86
Blitz Weinhard Clone,Standard American Lager,4.23,9.67,3.21
2015 - Hoegaarden Grand Cru,Witbier,8.67,29.77,5.64
Belgian Tripel,Belgian Tripel,9.42,39.18,4.72
Hefe-Weisse Paulaner Clone,Weizen/Weissbier,5.31,12.17,4.8
I See Red Ale,Irish Red Ale,5.28,22.35,17.57
Honey Nut Cheerio,Northern English Brown,5.21,29.54,9.8
The Real Authentic German Hefeweizen,Weizen/Weissbier,5.14,14.3,4.03
Mosaic Promise Clone Rev. 1,American IPA,5.65,49.96,4.78
Hibiscus Wheat,Weizen/Weissbier,5.78,22.39,9.1
Harp Irish Lager Clone,Premium American Lager,5.34,25.12,3.46
Blackberry Wheat,Specialty Beer,5.24,11.01,5.16
Centennial IPA,American IPA,6.19,65.24,10.22
Wit0915,Witbier,4.96,16.25,4.64
Kiwanda Cream Ale,Cream Ale,5.21,17.09,3.08
Left Hand Milk Stout (Clone),American Stout,6.87,15.12,28.97
Dreaded Christmas Ale -SBA,Holiday/Winter Special Spiced Beer,6.42,13.31,20.3
White IPA,Imperial IPA,7.59,90.6,4.52
Smoked IPA,Other Smoked Beer,6.95,62.52,13.17
Honey Nut Brown Ale Biab,Northern English Brown,6.04,37.41,18.67
Citra & Raspberry IPA Smoothie,Fruit Beer,6.16,58.65,8.36
American Porter,American Porter,5.62,44.95,30.02
Blood & Honey Clone,American Wheat Beer,7.14,21.03,4.15
Cascade 2-Row Smash,American Pale Ale,5.11,45.01,3.37
Coconut Porter,American Porter,6.54,42.05,35.78
Peach Milkshake IPA,American IPA,8.79,254.35,5.38
Grapefruit Sculpin Clone,American IPA,7.11,69.99,6.35
Sierra Nevada Torpedo Clone,American IPA,6.18,56,6.68
American Orange Wheat,American Wheat or Rye Beer,5.44,25.95,4.97
Imperial Stout,Russian Imperial Stout,8.95,69.16,39.77
20: Chainbreaker White IPA Clone,Specialty IPA: White IPA,6.16,61.32,3.92
Anchor Liberty Ale Clone,American Pale Ale,5.61,41.16,4.3
AleSmith IPA Clone - 20L,American IPA,8.57,42.29,11.22
Captain Hooked On Bitters: Redhook ESB Clone,Extra Special/Strong Bitter (ESB),4.86,21.51,14.37
18/06/2017 Red Ale,Irish Red Ale,6.4,31.19,14.04
Dead Ringer IPA - Northern Brewer,American IPA,6.34,66.15,8.19
Dark Days Porter,Robust Porter,6.17,29.71,40
Mac's - Founders Centennial IPA Clone,American IPA,7.39,68.7,14.85
