name,style,abv,ibu,color
White Wedding (Allagash White Clone),Witbier,5.37,24.71,3.43 °L
Balter XPA Clone,American Pale Ale,5.6,33.48,5.1 °L
' #1 Irish Red Ale (killians Clone),Irish Red Ale,5.2,17.78,13.91 °L
Belgian Saison - Farmhouse Style Ale,Saison,5.77,14,2.84 °L
Pineapple Cider,Fruit Cider,4.59,1.39,11.54 °L
Irish Red Ale,Irish Red Ale,5.31,23.02,19.33 °L
Paulaner Clone,Weizen/Weissbier,4.82,14.35,6.79 °L
Kozel Dark Clone,Czech Dark Lager,4.7,35.22,21.87 °L
Trillium Headroom Clone,American IPA,8.08,162.63,5.19 °L
Traditional German Hefeweizen,Weizen/Weissbier,5.13,8.5,3.66 °L
Heady Topper BYO Clone - Braumeister 20l,Imperial IPA,8.54,81.59,6.19 °L
Jumpin' Jalapeño Saison,Saison,5.73,27.86,9.94 °L
Weg Farmhouse Ale,Saison,5.19,32.18,5.63 °L
Chocolate Coffee Stout,American Stout,6.78,75.42,40 °L
Centennial Blonde,Blonde Ale,4.1,23.65,3.73 °L
NEIPA Tropical & Juicy Braumeister 20L,American IPA,6.57,44.4,4.35 °L
Founders Brewing Co. - Dirty Bastard Clone,Strong Scotch Ale,8.56,49.96,24.85 °L
Traditional Dunkelweizen,Dunkelweizen,5.59,12.13,15.39 °L
Green Flash West Coast IPA Clone,American IPA,7.27,92.4,9.3 °L
Chocolate Mint Stout,American Stout,8.08,43.24,31.77 °L
Kona Big Wave Clone,American Pale Ale,5.54,40.55,7.07 °L
Old Speckled Hen (clone),Extra Special/Strong Bitter (ESB),5.33,34.5,10.11 °L
Rodenbach Grand Cru Clone,Flanders Red Ale,7.22,15.99,15.25 °L
Backwoods Bastard Clone,Strong Scotch Ale,10.94,50.84,31 °L
Sleeman Cream Ale Clone,Cream Ale,5.22,19.73,4.74 °L
Shiner Bock,Dark American Lager,4.14,12.88,17.67 °L
Brooklyn Lager Clone,Vienna Lager,5.65,34.79,11.92 °L
German Kolsch,Kölsch,5,30.83,3 °L
Bitburger Clone,German Pilsner (Pils),5.45,37.53,3.35 °L
SMASH Citra IPA,American IPA,6.28,63.46,6.74 °L
Todd The Axe Man (Surly),American IPA,7.34,52.81,6.21 °L
Aecht Schlenkerla Rauchbier Clone,Märzen,5.73,22.94,23.03 °L
Lagunitas Brewing Co.- Lagunitas IPA Clone,American IPA,5.82,54,7.22 °L
Saison Dupont Clone,Saison,6.69,25.71,5.25 °L
Dogfish Head Brewery - Dogfish Head 60 Minute IPA Clone,American IPA,6.03,60,9.01 °L
Smithwick's Irish Ale,Irish Red Ale,4.5,25.27,16.76 °L
Mac & Jacks African Amber Clone,American Amber Ale,5.41,31.25,13.33 °L
Tripel Karmeliet Clone,Belgian Golden Strong Ale,9.06,25.16,5.12 °L
Pale Ale - Bee's Knees Haus Pale - 10 Gal,American Pale Ale,5.06,33.39,8.76 °L
NEIPA,Specialty IPA: New England IPA,6.33,54.88,5.64 °L
Bell's Hopslam Clone,Double IPA,9.78,141.73,6.68 °L
Traditional Berliner Weisse,Berliner Weisse,3.87,6.69,2.89 °L
Cascadian Dark Ale (Black IPA),American IPA,6.64,94.45,31.85 °L
Bakke Brygg Tysk Pilsner 25 L,German Pils,4.8,30.99,3.32 °L
Imperial Gingerbread Stout,Foreign Extra Stout,10.17,65.45,40 °L
Smithwicks Clone,Irish Red Ale,5.8,27.49,17.43 °L
Indian Summer Pale Ale,American Pale Ale,5.69,12.96,9.27 °L
Westvleteren 12 Clone,Clone Beer,10,35.35,26.41 °L
Oatmeal IPA,American IPA,6.92,77.73,10.53 °L
White House Honey Ale (Official Recipe),American Amber Ale,5.63,19.5,8.87 °L
Sweet Baby Jesus Clone,Robust Porter,7.77,30.03,47.34 °L
White Stout,Sweet Stout,4.59,26.61,10.56 °L
Yuengling Clone,American Lager,4.62,16.77,6.1 °L
Brut IPA,American IPA,7.03,34.19,3.17 °L
Caribou Slobber,American Brown Ale,4.8,18.1,25.1 °L
Heavenweizen,Weizen/Weissbier,6.3,13.92,5.9 °L
Stella Artois Clone,Bohemian Pilsener,5.5,23.49,3.73 °L
Hefe Graf (Apple Wheat),Fruit Beer,9.08,31.36,10.43 °L
Bell's Oberon Clone,American Wheat Beer,5.18,17.45,5.1 °L
Erdinger Clone,Weizen/Weissbier,4.14,14.74,3.66 °L
Citra Pale Ale Recipe,American Pale Ale,5.64,36.05,6.85 °L
Wake N Bake - Double Espresso Imperial Oatmeal Stout,American Stout,7.61,67.28,39.37 °L
Yorkshire Bitter,Special/Best/Premium Bitter,4.25,34.98,13.33 °L
Hoppy Pale Ale,American Pale Ale,6.42,63.57,7.92 °L
Flowers & Wood - Farmhouse Saison,Saison,6.76,30.29,9.83 °L
Strawberry Vanilla Milkshake IPA,American IPA,6.13,99.32,7.2 °L
Basic Amber,American Amber Ale,4.97,35.4,11.11 °L
Nelson Sauvin SMaSH,American Pale Ale,5.03,48.24,3.59 °L
Sip Of Sunshine Clone,American IPA,8.46,96.32,8.26 °L
Founder's Brewing's Breakfast Stout Clone,Oatmeal Stout,8.11,28.38,40 °L
Cali' Creamin' Clone,Cream Ale,5.38,25.46,6.1 °L
Hazy IPA_ Hazy Little Thing,Specialty IPA: White IPA,6.99,64.51,5.94 °L
Hard Cider,Common Cider,5.08,0,8.67 °L
Oaked Acerglyn (Maple Mead),Dry Mead,15.38,0,16.08 °L
Jason's Tropical IPA -  All-Grain,American IPA,7.57,85.99,5.57 °L
Cinnamon Apple Brown Ale,Fruit Beer,4.89,26.24,18.01 °L
NEIPA Juice Bomb,American IPA,8.06,30.55,5.18 °L
Bavarian Hefeweizen,Weizen/Weissbier,4.26,17.68,3.02 °L
Golden Monkey Clone,Belgian Tripel,9.51,29.19,7.48 °L
Rebel IPA,American IPA,6.58,51.23,9.38 °L
BC Irish Red,Irish Red Ale,5.03,14.92,20.24 °L
Citradelic IPA Clone (New Belgium),American IPA,6.49,88.17,9.49 °L
Chocolate Cherry Porter,Robust Porter,7.12,44.19,39.03 °L
Alaskan Amber Clone,American Amber Ale,5.69,35.3,10.59 °L
Sloop Juice Bomb Clone,American IPA,5.72,76.19,4.15 °L
Watermelon Wheat,Witbier,5.33,8.74,3.9 °L
Classic German Pilsner,German Pilsner (Pils),4.81,31.94,3.08 °L
Blackberry Sour Ale,Fruit Beer,6.7,30.66,4.39 °L
Bakke Brygg American IPA 50 L,American IPA,6.85,71.88,6.89 °L
Pauwel Kwak Clone,Belgian Golden Strong Ale,9.65,22.92,9.04 °L
Imperial Stout,Imperial Stout,9.96,64.6,50 °L
Imperial Chocolate Milk Stout (50L),Imperial Stout,9.16,35.75,38.79 °L
Imperial Chocolate Milk Stout (50L),Imperial Stout,9.16,35.75,38.79 °L
Fresh Squeezed Clone,American IPA,6.24,58.86,11.58 °L
Blonde Stout,Experimental Beer,7.86,36.39,6.53 °L
Cold Smoke Clone,Strong Scotch Ale,6.18,11.48,19.42 °L
Pineapple Hefeweizen,Weizen/Weissbier,5.28,15.37,6.68 °L
Shiner Bock Clone,American Lager,5.12,13.37,18.2 °L
American Nut Brown Ale,American Brown Ale,4.52,19.97,17.6 °L
Dragon's Milk Clone,Old Ale,9.67,35.2,37.34 °L
American Red Ale,American Amber Ale,6.63,64.58,17.09 °L
Boulevard Pale Ale Clone,American Pale Ale,5.05,30.84,9.47 °L
Pineapple Pale,Fruit Beer,6.54,60.07,11 °L
Maple Bourbon Porter,Robust Porter,6.5,35.82,27.53 °L
Dark Lord Clone,Russian Imperial Stout,13.69,55.93,50 °L
Bakke Brygg Pale Ale 5 L,American Pale Ale,5.55,37.88,6.16 °L
Brut IPA,American IPA,6.74,44.78,6.21 °L
Guinness Extra Stout Clone,Dry Stout,4.3,40.21,40 °L
Cream Of Three Crops,Cream Ale,4.15,13.37,2.56 °L
Smithwick's Irish Red Ale Clone,Irish Red Ale,4.62,20.51,16.14 °L
Bakke Brygg Ginger Ale 25 L,"Spice, Herb, or Vegetable Beer",4.41,10.82,2.95 °L
Franziskaner Hefe-weisse Clone 4g,Weizen/Weissbier,5.07,22.37,4.72 °L
Bell's Two Hearted Ale Clone,American IPA,7,51.8,5.6 °L
New Belgium Fat Tire Clone Recipe,American Amber Ale,5.71,19.33,10.44 °L
Bell's Two Hearted Ale Clone,American IPA,6.99,68.13,6.96 °L
Pineapple IPA,American IPA,5.88,65.77,7.04 °L
American Pale Ale,American Pale Ale,5.18,37.79,7.91 °L
TH Haze Clone,Imperial IPA,8.25,84.16,7 °L
Sleeper Street | Trillium Brewing  (approximation) Braumeister 20L,American IPA,6.83,41.72,4.39 °L
Dogfish Head 90 Minute Clone,American IPA,7.98,0,7.34 °L
Irish Sunset,Irish Red Ale,5.27,30.16,13.96 °L
Punk IPA Clone - Braumeister 20l,American IPA,6.08,54.52,6.5 °L
ESB (Single Hop: EKG),Extra Special/Strong Bitter (ESB),5.75,34.85,9.74 °L
Mosaic SMASH Pale Ale,American Pale Ale,6.46,37.64,6.02 °L
Amazing Haze 7%,American IPA,5.87,67.12,4.55 °L
Newcastle Brown Ale Clone,Northern English Brown,5.08,27.79,15.04 °L
Chocolate Coconut Stout,Sweet Stout,7.84,37.56,50 °L
Juicy Plum Porter,English Porter,5.26,35.6,24.55 °L
Oktoberfest,Oktoberfest/Märzen,6.06,42.99,9.25 °L
Deschutes Mirror Pond Pale Ale Clone,American Pale Ale,5.08,57.71,6.58 °L
Augustiner Helles Clone V1.2,Munich Helles,5.03,17.74,4.69 °L
Ginger Whirlwind - Golden Ginger Ale,American Pale Ale,5.75,35.38,4.98 °L
Session IPA,American IPA,4.48,53.4,8.31 °L
Raging Bitch Clone,Imperial IPA,8.53,80.6,12.22 °L
BIAB IPA,American IPA,5.84,67.53,6.41 °L
Any Colour You Like,American Pale Ale,5.77,36.64,5.65 °L
Mexican Cerveza,Light American Lager,4.96,28.95,2.97 °L
Bakke Brygg Pale Ale 25 L,American Pale Ale,5.55,37.36,6.16 °L
Bells Brewery - Oberon Clone,American Wheat or Rye Beer,5.64,24,6.38 °L
Farmhouse Saison Pepper/Lemon,Saison,5.27,28.86,3.37 °L
Mango IPA,American IPA,7.61,59.05,8.02 °L
Talus A Trippel Like... BIPA,Belgian Golden Strong Ale,8.59,65.83,6.78 °L
Bakke Brygg JuleAle 2016 20 L,American Brown Ale,6.54,42.81,21.63 °L
Erdinger Hefeweize Clone,Weissbier,4.93,11.34,6.93 °L
Old Rasputin Clone,Russian Imperial Stout,8.99,72.81,32.93 °L
Mosaic IPA,American IPA,6.26,63.67,6.18 °L
Bavarian Hefeweizen,Weizen/Weissbier,4.76,11.24,3.17 °L
Westmalle Tripel Clone,Belgian Tripel,9.23,36.92,5.53 °L
Goose Island 312,American Wheat or Rye Beer,4.21,25.4,3.73 °L
Accumulation IPA Clone,Specialty IPA: White IPA,6.41,56.13,4.22 °L
Grapefruit Honey Ale,American IPA,5.38,43.4,7.1 °L
Pineapple SAgePA,American IPA,5.95,0.54,6.08 °L
NEIPA #03: Pina ColaDIPA,Double IPA,7.53,53.62,5.81 °L
Chocolate Hazelnut Porter,Brown Porter,6.77,36.2,40 °L
Treehouse Julius,American IPA,6.7,80.21,7.32 °L
Belgian Trippel,Belgian Tripel,8.69,36.77,5.38 °L
Highlander Chocolate Coffee Porter,Robust Porter,5.41,19.33,39 °L
Rochefort 10 Clone,Belgian Dark Strong Ale,10.72,41.9,40 °L
New England IPA,American IPA,6.17,110.97,5.31 °L
Hunahpu (clone),Russian Imperial Stout,12.35,80.38,40 °L
Bonnie And Clyde Mango Milkshake NEIPA. We Used To Be Good But Then We Got Bored,Specialty IPA: New England IPA,4.81,83.47,4.17 °L
Alpine Nelson Clone BIAB,American IPA,7.13,99.3,5.24 °L
Gumball Head Clone,American Wheat or Rye Beer,5.1,19.57,5 °L
Tropical Thunder (NEIPA),American IPA,6.41,58.54,5.52 °L
Elysian Space Dust Variant,American IPA,8.21,73.43,9.33 °L
Hopped And Loaded 16 BBL,American IPA,7.27,81.43,6.84 °L
Timothy Taylor Landlord Clone,Standard/Ordinary Bitter,4.74,44.3,7.02 °L
Fuller's London Porter Clone BYO,Brown Porter,5.01,30.94,33.18 °L
The Quiet Man - Citra Lager,American Lager,4.93,16.35,2.58 °L
Fuller's London Pride,Special/Best/Premium Bitter,4.39,36.59,12.56 °L
Kristallweizen,Weizen/Weissbier,5.6,20.73,4.22 °L
Blood Orange Wheat (Wedding),Fruit Beer,5.33,30.18,3.72 °L
S'mores Stout,Sweet Stout,6.45,29.95,38.42 °L
Julius Clone BYO,American IPA,7.11,43.91,5.04 °L
Summer Citra Kölsch Partial Mash,Kölsch,4.76,22.58,3.75 °L
Irish Red Ale-BIAB,Irish Red Ale,5.48,25.52,22.28 °L
Heavy Hard Cherry Apple Cider,English Cider,8.11,0,7.17 °L
La Trappe Quadrupel Clone,Belgian Dark Strong Ale,10.11,23.4,22.03 °L
Bakke Brygg American Red Ale 25 L,American Amber Ale,6.61,65.32,16.19 °L
Mint Chocolate Stout,American Stout,10.26,55.69,40 °L
Dreaded  Southern Brown Ale - Maris Otter,Southern English Brown,5.42,13.1,20.14 °L
Sumpin' Like Little Sumpin' Sumpin' Wheat IPA,Imperial IPA,7.47,61.78,4.58 °L
Nothing Fancy Milk Chocolate Stout,Sweet Stout,4.99,20.14,39.5 °L
British Golden Ale,British Golden Ale,4.98,21.65,4.28 °L
Malty Pils,German Pilsner (Pils),4.64,25.82,3.53 °L
Diamond Chocolate Coffee Porter,Robust Porter,7.43,80.54,36.04 °L
St. Bernardus Abt. 12 Clone,Belgian Dark Strong Ale,10.21,20.61,40 °L
Peach Wheat,Fruit Beer,5.25,30.24,6.32 °L
Bakke Brygg JuleAle 2015 20 L,Old Ale,7.35,47.84,26.39 °L
Kilkenny Clone 5 GAL,Irish Red Ale,5.13,27.81,12.01 °L
Jacobsen Golden Naked Christmas Ale - 23L,Belgian Blond Ale,7.34,23.25,8.79 °L
HORNET 23L,American IPA,6.32,42.8,6.41 °L
Christmas Spiced Mead,Metheglin,15.68,0,15.05 °L
Coopers Sparkling Ale Clone,Australian Sparkling Ale,5.29,32.92,5.73 °L
Firestone Walker Union Jack IPA Clone,American IPA,7.87,81.05,8.14 °L
Electric IPA,American IPA,6.55,59.25,6.73 °L
Tap Room American Brown,American Brown Ale,7.07,32.35,22.88 °L
Juana Peña - Columbus - Mosaic IPA,American IPA,6.42,49.76,3.69 °L
Ayinger Brau-Weisse Clone Small Batch,Weizen/Weissbier,5.13,13,4.01 °L
Coffee Porter,Robust Porter,6.24,92.77,50 °L
#106 Cold Taxi Inspo,American Pale Ale,5.3,36.81,3.32 °L
La Fin Du Monde Clone,Belgian Tripel,8.91,13.42,5.22 °L
Hoppy Pils,German Pilsner (Pils),4.92,50.55,4.24 °L
Imperial Biscotti Break Clone,Russian Imperial Stout,11.14,63.32,50 °L
Blonde Stout,Sweet Stout,8.01,31.1,7.24 °L
Russian Imperial Stout Blend,Russian Imperial Stout,10.52,93.43,40 °L
Brooklyn Lager Clone (Brooklyn Brewery),Vienna Lager,5.27,34.54,9.1 °L
IPA 2 Gallon Batch,Double IPA,9.19,60.42,12.61 °L
She Devil Tripel,Belgian Tripel,9.62,34.96,7.87 °L
Traditional German Gose,Gueuze,5.11,10.23,4.47 °L
Belgian Quad,Belgian Dark Strong Ale,10.2,24.55,33.99 °L
Butterbeer,Specialty Beer,6.85,18.36,16.65 °L
Amarillo Pale Ale,American Pale Ale,5.42,68.05,10.41 °L
Apple Ale,Fruit Beer,6.64,11.74,7.97 °L
Belgian Tripel,Belgian Tripel,9.6,34.77,7.28 °L
Salted Caramel Chocolate Stout,Sweet Stout,5.76,28.62,37.9 °L
Wheat,American Wheat Beer,4.57,21.02,5.55 °L
Stout - Young Clone,Oatmeal Stout,5.29,30.42,30.87 °L
American Wheat IPA,American IPA,7.36,96.78,4.94 °L
Bruxelles Blonde Clone (?),Belgian Pale Ale,5.63,20.63,4.77 °L
Vanilla Coffee Stout,American Stout,4.85,17.28,32.15 °L
Honey Blonde Ale,Blonde Ale,5.35,17.22,7.14 °L
Chocolate Peanut Butter Porter,American Porter,6.94,9.49,35.98 °L
Toombstone - Banana Wheat,Weissbier,5.49,11.84,3.51 °L
120 Minute IPA Clone,Imperial IPA,19.85,75.55,6.79 °L
Mango Milkshake IPA,American IPA,6.14,65.66,5.75 °L
Raspberry Sour,Wild Specialty Beer,6.09,12.13,4.36 °L
Citrus Blonde,Blonde Ale,5.29,23.02,4.56 °L
Golden Session,British Golden Ale,3.82,28.75,3.86 °L
Blitz Weinhard Clone,Standard American Lager,4.23,9.67,3.21 °L
2015 - Hoegaarden Grand Cru,Witbier,8.67,29.77,5.64 °L
