Speidel #3 Wit,Witbier,5.13,17.41,3.66 °L
Wheachy Woman (Mango/Peach Wheat),American Wheat or Rye Beer,5.78,16.33,4.2 °L
Old Thumper Clone,Extra Special/Strong Bitter (ESB),2.86,34.96,14.51 °L
Xmas2,Belgian Golden Strong Ale,5.94,26.09,7.19 °L
Chocolate Milk Stout,Sweet Stout,5.39,25.15,49.65 °L
Guinness Clone,American Stout,5.41,43.2,25.08 °L
April Porter,American Porter,5.76,32.8,30.49 °L
Yuengling,English Porter,5.86,24.81,7.51 °L
Vitus,Weizenbock,7.91,23.96,13.4 °L
Bodhizafa IPA,American IPA,6.59,90.23,6.97 °L
Cherry Vanilla Amber Ale,American Amber Ale,5.85,31.31,13.18 °L
Siren's Song Jalapeno Cream Ale,No Profile Selected,5.02,34.66,3.42 °L
Classic West Coast IPA,American IPA,6.61,85.13,6.54 °L
Dark Lightnin' Barleywine,American Barleywine,13.25,35.89,24.36 °L
White House Home Brew Honey Ale (original Guess),Blonde Ale,5.05,10.35,5.77 °L
Amarillo SMASH,American IPA,6.13,49.04,5.41 °L
Dogfish Head Indian Brown Ale Clone V2,Old Ale,5.93,23.37,21.42 °L
American Garage Amber Ale,American Amber Ale,5,42.52,10.71 °L
Tha Merk,American Pale Ale,7.47,71.92,11.29 °L
Biscuits And Honey,Extra Special/Strong Bitter (ESB),5.46,54.06,8.75 °L
Ginger Saison,Saison,7.56,18.56,4.17 °L
Summer Beer,Blonde Ale,5.4,50.44,3.71 °L
IPA - 5 BBL,American IPA,7.03,51.11,4.71 °L
Raspberry Ale,Fruit Beer,5.95,25,2.92 °L
Blonde Ale - SMASH Pale And Cascade,Blonde Ale,5.33,18.27,5.25 °L
King Rasp - Imperial Raspberry IPA,Imperial IPA,7.74,64.3,15.66 °L
Pink Peppercorn Tripel,Belgian Tripel,8.32,44.48,5.22 °L
Restful,Specialty IPA: Black IPA,6.95,83.23,28.86 °L
Front Porch - Hobgoblin - Dark English Ale,Extra Special/Strong Bitter (ESB),5.14,33.92,15.8 °L
Nenna Belgian Blonde #2,Belgian Blond Ale,7.09,29.5,4.06 °L
Miller Lite Clone,American Light Lager,4.23,19.45,2.6 °L
RIS 2.0,Russian Imperial Stout,11.12,126.07,50 °L
Scrotum Repair,Strong Bitter,4.71,28.39,11.85 °L
Northern German Altbier,North German Altbier,5.52,37.83,7.98 °L
Imperial Rum/Coconut Stout,Russian Imperial Stout,9.22,59.99,50 °L
Belgian Blonde,Belgian Blond Ale,7.03,23.56,6 °L
Ichabod's Head Pumpkin Spice Ale,Holiday/Winter Special Spiced Beer,4.77,31.38,26.08 °L
Lee Erdinger Dunkel Clone,Dunkelweizen,5.23,22.93,15.95 °L
Northern Brewer American Wheat,American Wheat or Rye Beer,4.6,27.9,3.3 °L
